subject %matematica1
subject %fisica1
subject %fondamentidiprogrammazione
item %32%0%ciao%calcolatrice%1
item %64%0%ciao%appuntidimatematica1%1
item %96%0%ciao%appuntidifisica1%1
item %128%0%ciao%quartieri%1
item %160%0%ciao%pc%1
item %192%0%ciao%deitel%1
item %224%0%ciao%appuntidimatematica2%2
item %256%0%ciao%pc2%2
item %288%0%ciao%deitel2%2
item %320%0%ciao%quartieri2%4
quest %1%matematica1%calcolatrice%appuntidimatematica1
quest %1%fisica1%appuntidifisica1%quartieri
quest %1%fondamentidiprogrammazione%pc%deitel
quest %2%matematica2%appuntidimatematica2
quest %2%fisica2%appuntidifisica2%quartieri2
quest %2%fondamentidiprogrammazione2%pc2%deitel2
professor %Foggia%12%12%path%matematica1
professor %Falanga%40%40%path%fisica1
professor %DellaCioppa%178%123%path%fondamentidiprogrammazione
block %2112%1696 %0%f
block %2176%1760 %0%f
block %2048%1760 %0%f
block %384%320 %0%f
block %416%320 %0%f
block %448%320 %0%f
block %480%320 %0%f
block %512%320 %0%f
block %544%320 %0%f
block %576%320 %0%f
block %608%320 %0%f
block %640%320 %0%f
block %672%320 %0%f
block %704%320 %0%f
block %384%352 %0%f
block %704%352 %0%f
block %384%384 %0%f
block %384%416 %0%f
block %384%448 %0%f
block %384%480 %0%f
block %384%512 %0%f
block %416%512 %0%f
block %448%512 %0%f
block %480%512 %0%f
block %512%512 %0%f
block %544%512 %0%f
block %576%512 %0%f
block %608%512 %0%f
block %640%512 %0%f
block %672%512 %0%f
block %704%512 %0%f
block %704%384 %0%f
block %704%416 %0%f
block %704%448 %0%f
block %704%480 %0%f
block %320%416 %0%f
block %320%448 %0%f
block %320%480 %0%f
block %320%512 %0%f
block %768%416 %0%f
block %768%448 %0%f
block %768%480 %0%f
block %768%512 %0%f
block %608%576 %0%f
block %640%576 %0%f
block %672%576 %0%f
block %704%576 %0%f
block %704%608 %0%f
block %608%608 %0%f
block %640%608 %0%f
block %672%608 %0%f
block %384%576 %0%f
block %416%576 %0%f
block %448%576 %0%f
block %480%576 %0%f
block %480%608 %0%f
block %448%608 %0%f
block %416%608 %0%f
block %384%608 %0%f
block %960%608 %0%f
block %1472%192 %0%f
block %1472%224 %0%f
block %1472%256 %0%f
block %1472%288 %0%f
block %1472%320 %0%f
block %1472%352 %0%f
block %1472%384 %0%f
block %1472%416 %0%f
block %1504%416 %0%f
block %1536%416 %0%f
block %1568%416 %0%f
block %1600%416 %0%f
block %1632%416 %0%f
block %1664%416 %0%f
block %1696%416 %0%f
block %1728%416 %0%f
block %1760%416 %0%f
block %1760%384 %0%f
block %1760%352 %0%f
block %1760%320 %0%f
block %1760%288 %0%f
block %1760%256 %0%f
block %1760%224 %0%f
block %1760%192 %0%f
block %1504%192 %0%f
block %1536%192 %0%f
block %1568%192 %0%f
block %1600%192 %0%f
block %1632%192 %0%f
block %1664%192 %0%f
block %1696%192 %0%f
block %1728%192 %0%f
block %1408%320 %0%f
block %1408%352 %0%f
block %1408%384 %0%f
block %1824%320 %0%f
block %1824%352 %0%f
block %1824%384 %0%f
block %1824%448 %0%f
block %1664%480 %0%f
block %1696%480 %0%f
block %1728%480 %0%f
block %1760%480 %0%f
block %1760%512 %0%f
block %1728%512 %0%f
block %1696%512 %0%f
block %1664%512 %0%f
block %1472%480 %0%f
block %1504%480 %0%f
block %1536%480 %0%f
block %1568%480 %0%f
block %1568%512 %0%f
block %1536%512 %0%f
block %1504%512 %0%f
block %1472%512 %0%f
block %1888%704 %0%f
block %1920%704 %0%f
block %1952%704 %0%f
block %1984%704 %0%f
block %2016%704 %0%f
block %2048%704 %0%f
block %2080%704 %0%f
block %2112%704 %0%f
block %2144%704 %0%f
block %2176%704 %0%f
block %2176%736 %0%f
block %2144%736 %0%f
block %2112%736 %0%f
block %2080%736 %0%f
block %2048%736 %0%f
block %2016%736 %0%f
block %1984%736 %0%f
block %1952%736 %0%f
block %1920%736 %0%f
block %1888%736 %0%f
block %2336%192 %0%f
block %2368%192 %0%f
block %2400%224 %0%f
block %2432%288 %0%f
block %2464%256 %0%f
block %2496%256 %0%f
block %2528%288 %0%f
block %2528%320 %0%f
block %2528%352 %0%f
block %2592%352 %0%f
block %2624%352 %0%f
block %2656%384 %0%f
block %2656%416 %0%f
block %2656%448 %0%f
block %2656%480 %0%f
block %2624%480 %0%f
block %2592%480 %0%f
block %2560%480 %0%f
block %2560%448 %0%f
block %2560%416 %0%f
block %2560%384 %0%f
block %2528%384 %0%f
block %2496%384 %0%f
block %2464%384 %0%f
block %2432%384 %0%f
block %2432%352 %0%f
block %2400%320 %0%f
block %2368%320 %0%f
block %2336%320 %0%f
block %2304%320 %0%f
block %2304%288 %0%f
block %2304%256 %0%f
block %2304%224 %0%f
block %2560%896 %0%f
block %2592%896 %0%f
block %2624%896 %0%f
block %2656%896 %0%f
block %2688%896 %0%f
block %2720%896 %0%f
block %2752%896 %0%f
block %2784%896 %0%f
block %2816%896 %0%f
block %2848%896 %0%f
block %2848%928 %0%f
block %2848%960 %0%f
block %2848%992 %0%f
block %2848%1024 %0%f
block %2848%1056 %0%f
block %2848%1088 %0%f
block %2848%1120 %0%f
block %2816%1120 %0%f
block %2784%1120 %0%f
block %2752%1120 %0%f
block %2720%1120 %0%f
block %2688%1120 %0%f
block %2656%1120 %0%f
block %2624%1120 %0%f
block %2592%1120 %0%f
block %2560%1120 %0%f
block %2560%1088 %0%f
block %2560%1056 %0%f
block %2560%1024 %0%f
block %2560%992 %0%f
block %2560%960 %0%f
block %2560%928 %0%f
block %2496%1024 %0%f
block %2496%1056 %0%f
block %2496%1088 %0%f
block %2912%1024 %0%f
block %2912%1056 %0%f
block %2912%1088 %0%f
block %2080%1184 %0%f
block %2112%1184 %0%f
block %2784%1312 %0%f
block %2560%1184 %0%f
block %2592%1184 %0%f
block %2624%1184 %0%f
block %2656%1184 %0%f
block %2560%1216 %0%f
block %2656%1216 %0%f
block %2752%1184 %0%f
block %2752%1216 %0%f
block %2784%1216 %0%f
block %2816%1216 %0%f
block %2848%1216 %0%f
block %2784%1184 %0%f
block %2816%1184 %0%f
block %2848%1184 %0%f
block %2592%1216 %0%f
block %2624%1216 %0%f
block %256%768 %0%f
block %256%800 %0%f
block %256%832 %0%f
block %1088%768 %0%f
block %1088%800 %0%f
block %1088%832 %0%f
block %1216%928 %0%f
block %1248%928 %0%f
block %1280%960 %0%f
block %1280%992 %0%f
block %1280%1024 %0%f
block %1248%1056 %0%f
block %1216%1056 %0%f
block %1184%1024 %0%f
block %1184%992 %0%f
block %1184%960 %0%f
block %1280%1056 %0%f
block %1184%1056 %0%f
block %1344%1056 %0%f
block %1376%1056 %0%f
block %1312%1088 %0%f
block %1408%1088 %0%f
block %1312%1120 %0%f
block %1312%1152 %0%f
block %1312%1184 %0%f
block %1344%1184 %0%f
block %1376%1184 %0%f
block %1408%1184 %0%f
block %1408%1152 %0%f
block %1408%1120 %0%f
block %768%832 %0%f
block %800%832 %0%f
block %832%832 %0%f
block %864%832 %0%f
block %896%832 %0%f
block %928%832 %0%f
block %960%832 %0%f
block %992%832 %0%f
block %352%832 %0%f
block %384%832 %0%f
block %416%832 %0%f
block %448%832 %0%f
block %480%832 %0%f
block %512%832 %0%f
block %544%832 %0%f
block %576%832 %0%f
block %640%832 %0%f
block %672%832 %0%f
block %704%832 %0%f
block %256%1568 %0%f
block %256%1600 %0%f
block %256%1632 %0%f
block %1088%1568 %0%f
block %1088%1600 %0%f
block %1088%1632 %0%f
block %64%1056 %0%f
block %96%1056 %0%f
block %32%1088 %0%f
block %32%1120 %0%f
block %32%1152 %0%f
block %32%1184 %0%f
block %64%1184 %0%f
block %96%1184 %0%f
block %128%1184 %0%f
block %128%1152 %0%f
block %128%1120 %0%f
block %128%1088 %0%f
block %2400%256 %0%f
block %1888%1600 %0%f
block %1920%1600 %0%f
block %1952%1600 %0%f
block %1984%1600 %0%f
block %1984%1632 %0%f
block %1984%1664 %0%f
block %1952%1664 %0%f
block %1920%1664 %0%f
block %1888%1632 %0%f
block %1888%1664 %0%f
block %1888%1728 %0%f
block %1920%1728 %0%f
block %1952%1728 %0%f
block %1984%1728 %0%f
block %1888%1760 %0%f
block %1984%1760 %0%f
block %1888%1792 %0%f
block %1920%1792 %0%f
block %1952%1792 %0%f
block %1984%1792 %0%f
block %2528%1792 %0%f
block %2560%1792 %0%f
block %2592%1792 %0%f
block %2624%1792 %0%f
block %2656%1792 %0%f
block %2688%1792 %0%f
block %2720%1792 %0%f
block %2752%1792 %0%f
block %2784%1792 %0%f
block %2816%1792 %0%f
block %2816%1824 %0%f
block %2816%1856 %0%f
block %2816%1888 %0%f
block %2816%1920 %0%f
block %2816%1952 %0%f
block %2816%1984 %0%f
block %2816%2016 %0%f
block %2784%2016 %0%f
block %2752%2016 %0%f
block %2720%2016 %0%f
block %2688%2016 %0%f
block %2656%2016 %0%f
block %2624%2016 %0%f
block %2592%2016 %0%f
block %2528%1824 %0%f
block %2528%1856 %0%f
block %2528%1888 %0%f
block %2528%1952 %0%f
block %2528%1920 %0%f
block %2528%1984 %0%f
block %2528%2016 %0%f
block %2560%2016 %0%f
block %1984%2048 %0%f
block %1952%2048 %0%f
block %2560%2048 %0%f
block %1728%2496 %0%f
block %2368%2496 %0%f
block %2368%2720 %0%f
block %1728%2720 %0%f
block %1568%2848 %0%f
block %1536%2848 %0%f
block %1568%2880 %0%f
block %1536%2880 %0%f
block %1440%3008 %0%f
block %1472%3008 %0%f
block %1472%3040 %0%f
block %1440%3040 %0%f
block %1216%2592 %0%f
block %1248%2592 %0%f
block %1248%2624 %0%f
block %1216%2624 %0%f
block %1344%2432 %0%f
block %1376%2432 %0%f
block %1376%2464 %0%f
block %1344%2464 %0%f
block %2816%2624 %0%f
block %3008%2880 %0%f
block %2976%2752 %0%f
block %2848%2624 %0%f
block %2880%2688 %0%f
block %2880%2720 %0%f
block %2944%2752 %0%f
block %2880%2656 %0%f
block %2912%2784 %0%f
block %2912%2816 %0%f
block %2912%2848 %0%f
block %2912%2880 %0%f
block %2944%2880 %0%f
block %2976%2880 %0%f
block %3008%2848 %0%f
block %3008%2816 %0%f
