subject %matematica
item %4%3%calcolatrice%ciao%1
item %4%3%appuntidimatematica1%ciao%1
item %4%3%appuntidifisica1%ciao%1
item %4%3%quartieri%ciao%1
item %4%3%pc%ciao%1
item %4%3%deitel%ciao%1
item %4%3%appuntidimatematica2%ciao%2
item %4%3%pc2%ciao%2
item %4%3%deitel2%ciao%2
item %4%3%quartieri2%ciao%4
quest %1%matematica1%calcolatrice%appuntidimatematica1
quest %1%fisica1%appuntidifisica1%quartieri
quest %1%fondamentidiprorgammazione%pc%deitel
quest %2%matematica2%appuntidimatematica2
quest %2%fisica2%appuntidifisica2%quartieri2
quest %2%fondamentidiprorgammazione2%pc2%deitel2
professor %Foggia%12%12%path%matematica
